"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
755 0.0397422442694791 2 20 "GO:0003730" "mRNA 3'-UTR binding" 0.243547217019364
611 2.7028191469133e-05 2 130 "GO:0003735" "structural constituent of ribosome" 0.00263975336681866
866 0.00136355382375817 2 37 "GO:0003743" "translation initiation factor activity" 0.0352518767965715
688 0.0842863774244074 2 17 "GO:0003746" "translation elongation factor activity" 0.342582656696996
553 0.40936592968985 2 6 "GO:0003747;GO:0008079" "translation release factor activity" 0.74345589296979
835 0.012760590863125 4 24 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.151575126603877
-78 0.840521374072406 4 18 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.963607633994362
153 0.347270790322432 2 104 "GO:0003774" "motor activity" 0.693292143862969
63 0.762691989808235 7 63 "GO:0003777" "microtubule motor activity" 0.933713452703953
-249 0.132533371174291 2 100 "GO:0003779" "actin binding" 0.458469528530995
-676 0.356978160568671 3 5 "GO:0003840;GO:0036374" "glutathione hydrolase activity" 0.701710593824718
69 0.894720297486979 3 10 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 0.976829858241462
349 0.185604871918419 3 39 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 0.54158318212022
878 0.231401362166172 5 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.586894626014116
478 0.514708532453198 5 5 "GO:0003858" "3-hydroxybutyrate dehydrogenase activity" 0.810764614182888
-145 0.843913809614474 2 5 "GO:0003884" "D-amino-acid oxidase activity" 0.963607633994362
179 0.520163000451134 3 35 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.814357736559665
452 0.103628025009396 6 35 "GO:0003899;GO:0034062" "RNA polymerase activity" 0.395490527456065
537 0.19079204912361 -1 16 "GO:0003900;GO:0003901;GO:0003902" "DNA-directed RNA polymerase I activity" 0.546993536473962
118 0.828682215474419 3 9 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 0.960965260424821
899 0.179526661542453 2 6 "GO:0003913;GO:0003904" "DNA photolyase activity" 0.52777235951778
24 0.881833276886318 2 108 "GO:0003924" "GTPase activity" 0.971866895797057
-719 0.0184886092527286 -1 29 "GO:0003925" "small monomeric GTPase activity" 0.176646603621179
288 0.496575164530176 -1 15 "GO:0003936" "hydrogen-transporting two-sector ATPase activity" 0.803751092413024
-1001 0.17221231916734 2 5 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.515392205726312
229 0.542660153482335 2 19 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.835373511227622
732 0.274140404227019 2 6 "GO:0003958" "NADPH-hemoprotein reductase activity" 0.618619769518609
625 0.394008611160085 2 5 "GO:0003960" "NADPH:quinone reductase activity" 0.731223236947868
-209 0.702146328874951 3 9 "GO:0003964" "RNA-directed DNA polymerase activity" 0.902739873776937
-433 0.454948496123362 2 8 "GO:0003993" "acid phosphatase activity" 0.776558333577256
130 0.774907613111834 4 13 "GO:0003995;GO:0052890" "acyl-CoA dehydrogenase activity" 0.940806342438262
63 0.925466528996192 3 6 "GO:0004000" "adenosine deaminase activity" 0.985339733847658
448 0.0164383444265406 2 78 "GO:0004004;GO:0003724;GO:0008186" "RNA helicase activity" 0.164196644896923
351 0.632091883746826 4 5 "GO:0004012" "phospholipid-translocating ATPase activity" 0.86569599558209
-583 0.426576572187319 2 5 "GO:0004016" "adenylate cyclase activity" 0.755969368856156
-1175 0.0428319316992759 2 8 "GO:0004017" "adenylate kinase activity" 0.252679650762842
-1411 0.0543878887612473 5 5 "GO:0004021;GO:0047635" "alanine-oxo-acid transaminase activity" 0.280429765021382
-847 0.121693033016768 2 9 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 0.434829983828208
339 0.513021603284938 2 10 "GO:0004065;GO:0008484" "sulfuric ester hydrolase activity" 0.810764614182888
-419 0.357640894236034 2 13 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.701710593824718
-481 0.512246248601194 3 5 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.810764614182888
-91 0.867250553955663 3 9 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "heme-copper terminal oxidase activity" 0.969467606882038
-345 0.50620554319077 2 10 "GO:0004143" "diacylglycerol kinase activity" 0.80754024040778
1361 0.018964271365558 2 8 "GO:0004165" "dodecenoyl-CoA delta-isomerase activity" 0.179242951938984
1330 0.0697988024416512 4 5 "GO:0004169" "dolichyl-phosphate-mannose-protein mannosyltransferase activity" 0.322280947478415
-130 0.266561379235171 4 205 "GO:0004175" "endopeptidase activity" 0.60544561330159
839 0.147892935460239 3 8 "GO:0004176" "ATP-dependent peptidase activity" 0.475026692718207
92 0.806182163231462 2 19 "GO:0004177" "aminopeptidase activity" 0.956179459753026
-366 0.319283560487602 2 20 "GO:0004180" "carboxypeptidase activity" 0.668214880163339
-244 0.655369851207944 2 9 "GO:0004181" "metallocarboxypeptidase activity" 0.873793644831726
252 0.566011436881517 -1 14 "GO:0004182" "carboxypeptidase A activity" 0.838195643919268
-240 0.643209220841511 2 10 "GO:0004185;GO:0070008" "serine-type exopeptidase activity" 0.868670055037172
-317 0.412160534426555 5 18 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.745658145070457
352 0.0927157076236974 2 62 "GO:0004197" "cysteine-type endopeptidase activity" 0.365958094968796
-490 0.46442226533843 3 6 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.777708764410249
785 0.00893820516186149 2 30 "GO:0004221" "ubiquitin thiolesterase activity" 0.127660109290327
-736 0.000826201593132837 2 56 "GO:0004222" "metalloendopeptidase activity" 0.0250424551849574
-551 0.452575456161983 -1 5 "GO:0004245" "neprilysin activity" 0.775465547692755
-1105 0.00914970066585963 -1 15 "GO:0004249;GO:0008133;GO:0008319;GO:0030402" "collagenase activity" 0.127660109290327
-303 0.207226299341061 2 47 "GO:0004252" "serine-type endopeptidase activity" 0.563993249952017
-905 0.0467541521464973 -1 13 "GO:0004295;GO:0004263" "trypsin activity" 0.264361737427023
855 0.0318332685893292 6 17 "GO:0004298;GO:0070003;GO:0004299" "threonine-type endopeptidase activity" 0.218612375266445
511 0.349970498134361 5 9 "GO:0004303;GO:0033764" "steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 0.695982053982134
1020 0.127924324797585 2 6 "GO:0004308;GO:0016997" "exo-alpha-sialidase activity" 0.446212228163005
1419 0.00626378962537362 2 10 "GO:0004312" "fatty acid synthase activity" 0.104233450132226
-672 0.246573619489193 4 8 "GO:0004339" "glucan 1,4-alpha-glucosidase activity" 0.601083544635642
141 0.76599939192405 4 12 "GO:0004364" "glutathione transferase activity" 0.93645822740089
496 0.458662193464069 4 6 "GO:0004366" "glycerol-3-phosphate O-acyltransferase activity" 0.776558333577256
-997 0.174106654201932 3 5 "GO:0004383" "guanylate cyclase activity" 0.517026179201008
152 0.836020270835434 2 5 "GO:0004385" "guanylate kinase activity" 0.962096612484725
497 0.000414277377578521 2 139 "GO:0004386;GO:0008026;GO:0070035" "helicase activity" 0.0151729089538133
51 0.890085007143466 2 20 "GO:0004402" "histone acetyltransferase activity" 0.976759951659309
561 0.201295439592946 2 14 "GO:0004407;GO:0033558" "protein deacetylase activity" 0.560708930703832
-89 0.903021654998461 6 5 "GO:0004427" "inorganic diphosphatase activity" 0.977532062492176
-416 0.447213977692703 3 9 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 0.773239524626007
170 0.74372444378307 -1 10 "GO:0004437" "inositol or phosphatidylinositol phosphatase activity" 0.920751811387773
-474 0.414113229019648 2 8 "GO:0004439;GO:0034595" "phosphatidylinositol phosphate 5-phosphatase activity" 0.747444616649426
-158 0.813776461751437 3 6 "GO:0004448" "isocitrate dehydrogenase activity" 0.956179459753026
-944 0.158766834234285 4 6 "GO:0004467;GO:0015645" "fatty acid ligase activity" 0.497721737411225
-528 0.0398985201942985 3 41 "GO:0004497" "monooxygenase activity" 0.243547217019364
328 0.0262213278328046 2 126 "GO:0004518" "nuclease activity" 0.1999775710473
290 0.141031371767903 4 70 "GO:0004519" "endonuclease activity" 0.467798399184856
365 0.297171726116989 2 22 "GO:0004520" "endodeoxyribonuclease activity" 0.640581601579473
228 0.424963352085286 6 33 "GO:0004521" "endoribonuclease activity" 0.755130791234482
-76 0.917950449210651 2 5 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.985339733847658
1065 0.146754859690356 6 5 "GO:0004525;GO:0032296" "double-stranded RNA-specific ribonuclease activity" 0.475026692718207
-398 0.52067013418263 2 7 "GO:0004526" "ribonuclease P activity" 0.814357736559665
344 0.124519857442056 2 54 "GO:0004527" "exonuclease activity" 0.437811818766269
-41 0.9554964364828 2 5 "GO:0004528" "phosphodiesterase I activity" 0.985339733847658
177 0.720799744809507 7 11 "GO:0004534" "5'-3' exoribonuclease activity" 0.906440253890407
211 0.733411737396037 4 7 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.912442217716465
474 0.114196317260714 2 30 "GO:0004536" "deoxyribonuclease activity" 0.421427725040486
154 0.466682899731734 2 61 "GO:0004540" "ribonuclease activity" 0.777708764410249
-179 0.729605172089223 2 10 "GO:0004549" "tRNA-specific ribonuclease activity" 0.912442217716465
-224 0.666484660892956 5 10 "GO:0004550" "nucleoside diphosphate kinase activity" 0.878699751317085
335 0.361602155733976 2 20 "GO:0004551" "nucleotide diphosphatase activity" 0.705256554360867
6 0.972798922403308 2 86 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.987402139483265
-1027 0.125079220587116 2 6 "GO:0004558" "alpha-glucosidase activity" 0.438026433848904
-222 0.668732050560178 3 10 "GO:0004559;GO:0015923" "mannosidase activity" 0.878699751317085
909 0.215426324631064 2 5 "GO:0004560" "alpha-L-fucosidase activity" 0.564224432536484
-605 0.329129941436545 6 7 "GO:0004563" "beta-N-acetylhexosaminidase activity" 0.682323628591328
1056 0.14997255169347 3 5 "GO:0004565" "beta-galactosidase activity" 0.475905678478556
-334 0.446573539578836 3 14 "GO:0004576" "oligosaccharyl transferase activity" 0.773239524626007
988 0.111022558297147 5 7 "GO:0004597" "peptide-aspartate beta-dioxygenase activity" 0.411767209886887
948 0.0209169591755083 -1 16 "GO:0004600;GO:0030051;GO:0042027" "cyclophilin" 0.185717243588604
32 0.924817154169515 2 23 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.985339733847658
-312 0.528566468296911 4 11 "GO:0004602" "glutathione peroxidase activity" 0.823776463888271
-210 0.298404855679747 2 67 "GO:0004620;GO:0016298" "lipase activity" 0.640581601579473
-366 0.554760519411835 2 7 "GO:0004622" "lysophospholipase activity" 0.838195643919268
-662 0.0714131661258415 2 20 "GO:0004623" "phospholipase A2 activity" 0.323708657902932
-808 0.139430389791786 2 9 "GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499" "calcium-independent phospholipase A2 activity" 0.46600499097711
-784 0.24187590194888 2 6 "GO:0004630" "phospholipase D activity" 0.598400007850345
169 0.801426321208676 3 6 "GO:0004652" "polynucleotide adenylyltransferase activity" 0.956179459753026
-644 0.380079947075527 4 5 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.723139120085256
561 0.256631282458347 4 11 "GO:0004659" "prenyltransferase activity" 0.604164883116593
-267 0.00248843076842733 2 369 "GO:0004674;GO:0004672" "protein kinase activity" 0.0560854011653237
-210 0.163618879557023 5 121 "GO:0004675;GO:0004676;GO:0004677;GO:0004679;GO:0004680;GO:0004681;GO:0004686;GO:0004689;GO:0004692;GO:0004694;GO:0004697;GO:0004698;GO:0009931;GO:0010857;GO:0004703;GO:0004704;GO:0004705;GO:0016909;GO:0004707;GO:0004706;GO:0004708;GO:0004712;GO:0004711;GO:0004716;GO:0008349;GO:0008384;GO:0008443;GO:0019200;GO:0008545;GO:0008607;GO:0008819;GO:0016538;GO:0018720;GO:0019912;GO:0019914;GO:0042556;GO:0042557" "protein serine/threonine/tyrosine kinase activity" 0.50118874024467
-122 0.568969740483489 2 59 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.838195643919268
-678 0.274472935281294 2 7 "GO:0004687" "myosin light chain kinase activity" 0.618619769518609
-57 0.717095168975233 3 109 "GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 0.906136870006533
19 0.929960558327378 4 57 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.985339733847658
-194 0.366364037905713 2 59 "GO:0004709" "MAP kinase kinase kinase activity" 0.71246457813965
-260 0.0230921019000446 2 214 "GO:0004713" "protein tyrosine kinase activity" 0.193313881620373
-328 0.0734242277094224 3 81 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 0.326070147974751
-444 0.0253514736126672 2 69 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.1999775710473
-476 0.00335647545604714 2 104 "GO:0004721" "phosphoprotein phosphatase activity" 0.0719595591674497
-2 0.994252642072322 6 39 "GO:0004722" "protein serine/threonine phosphatase activity" 0.998710703025958
65 0.834197537587299 2 28 "GO:0004723;GO:0004724;GO:0008420;GO:0008597;GO:0017018;GO:0017020" "calcium-dependent protein serine/threonine phosphatase activity" 0.962096612484725
-775 0.000269780091438802 3 60 "GO:0004725" "protein tyrosine phosphatase activity" 0.0124808789670898
-1001 0.0845738754303164 2 8 "GO:0004726" "non-membrane spanning protein tyrosine phosphatase activity" 0.342582656696996
-926 0.0612836720081256 8 11 "GO:0004727" "prenylated protein tyrosine phosphatase activity" 0.297615180636146
-123 0.866612015549645 2 5 "GO:0004745" "retinol dehydrogenase activity" 0.969467606882038
137 0.813119530772246 6 8 "GO:0004767" "sphingomyelin phosphodiesterase activity" 0.956179459753026
-383 0.601929201716936 4 5 "GO:0004791" "thioredoxin-disulfide reductase activity" 0.854027336023796
1014 0.0637490419102694 5 9 "GO:0004806" "triglyceride lipase activity" 0.304540259995254
90 0.779287546693789 4 26 "GO:0004812;GO:0016876;GO:0016875" "ligase activity, forming aminoacyl-tRNA and related compounds" 0.944818970405297
-242 0.658753369679813 2 9 "GO:0004835" "tubulin-tyrosine ligase activity" 0.873831865488407
-25 0.813763924868047 3 243 "GO:0004842;GO:0019787;GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.956179459753026
532 0.0321283111941263 2 44 "GO:0004843;GO:0019783" "small conjugating protein-specific protease activity" 0.218920818136721
-406 0.0161131318132059 2 96 "GO:0004857" "enzyme inhibitor activity" 0.164196644896923
-270 0.48599200475939 2 18 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.800153172037452
43 0.941082132613935 2 8 "GO:0004864;GO:0019212" "phosphatase inhibitor activity" 0.985339733847658
-430 0.0548736286503728 2 54 "GO:0004866;GO:0030414;GO:0061135" "endopeptidase regulator activity" 0.280429765021382
-394 0.249961209651164 4 23 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.601984077874281
-415 0.311608387099651 3 16 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 0.661223264692903
-377 2.95250229879661e-06 2 449 "GO:0004871;GO:0060089" "signal transducer activity" 0.000517614833081913
-43 0.953757379652037 2 5 "GO:0004879;GO:0098531" "ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.985339733847658
-452 1.7985797363504e-07 3 384 "GO:0004888;GO:0038023;GO:0004872" "receptor activity" 7.90475794126001e-05
-1084 0.0617878979370439 5 8 "GO:0004889" "acetylcholine-activated cation-selective channel activity" 0.29841517739924
834 0.0782541243037852 2 12 "GO:0004890;GO:0016917" "GABA receptor activity" 0.333909588655472
-473 0.000783244852549066 2 139 "GO:0004930" "G-protein coupled receptor activity" 0.024588293763951
-742 0.080229785380239 2 15 "GO:0004935" "adrenergic receptor activity" 0.339047987255914
-125 0.852265746604118 5 6 "GO:0004937;GO:0004936" "alpha-adrenergic receptor activity" 0.965944030245933
-1283 0.0134553126947934 3 10 "GO:0004939;GO:1901338" "beta-adrenergic receptor activity" 0.153600257905499
-1383 0.0594319906006085 4 5 "GO:0004941" "beta2-adrenergic receptor activity" 0.29348718953896
-581 0.38547034312192 4 6 "GO:0004952" "dopamine neurotransmitter receptor activity" 0.723992375222581
-719 0.044859550915666 4 21 "GO:0004969;GO:0031808;GO:0031806" "histamine receptor activity" 0.261136061290533
-313 0.669823828158353 2 5 "GO:0004977" "melanocortin receptor activity" 0.878768873061481
-1312 0.0501335708887807 3 6 "GO:0004983" "neuropeptide Y receptor activity" 0.273100363583391
-142 0.784061318422662 2 10 "GO:0004993" "serotonin receptor activity" 0.949297381396033
-1649 3.45918432946212e-05 7 17 "GO:0005001" "transmembrane receptor protein tyrosine phosphatase activity" 0.00276420275054291
-838 0.0260713218232036 6 19 "GO:0005007" "fibroblast growth factor-activated receptor activity" 0.1999775710473
-47 0.948758846287923 4 5 "GO:0005021" "vascular endothelial growth factor-activated receptor activity" 0.985339733847658
-1585 0.0307471680312433 2 5 "GO:0005024" "transforming growth factor beta-activated receptor activity" 0.218612375266445
-725 0.0543622548692618 3 19 "GO:0005044;GO:0038024" "cargo receptor activity" 0.280429765021382
-337 0.61504959732409 2 6 "GO:0005047" "signal recognition particle binding" 0.859167600578064
375 0.545369818915596 2 7 "GO:0005049" "nuclear export signal receptor activity" 0.835854633419603
-201 0.221791840240151 3 101 "GO:0005057;GO:0004702" "receptor signaling protein activity" 0.575088576905878
-367 0.501865240997788 2 9 "GO:0005070" "SH3/SH2 adaptor activity" 0.804167908830212
-970 0.186072947668153 4 5 "GO:0005072" "transforming growth factor beta receptor, cytoplasmic mediator activity" 0.54158318212022
-163 0.753527822516867 2 10 "GO:0005080" "protein kinase C binding" 0.925071167587048
-745 0.0375767525690438 2 21 "GO:0005083" "small GTPase regulator activity" 0.241213392228134
-694 2.25773046470681e-05 1 102 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.00248068134809661
-64 0.896816491013492 2 11 "GO:0005086" "ARF guanyl-nucleotide exchange factor activity" 0.976829858241462
-923 0.208532419037972 3 5 "GO:0005087" "Ran guanyl-nucleotide exchange factor activity" 0.563993249952017
-745 0.000128299530885441 2 72 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.00740179654944153
-586 0.0168655350030463 2 45 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.164720058529752
-534 0.425244302231022 3 6 "GO:0005092" "GDP-dissociation inhibitor activity" 0.755130791234482
-475 0.478533004950421 2 6 "GO:0005095" "GTPase inhibitor activity" 0.790658855923722
-895 0.0588855576810408 2 12 "GO:0005099" "Ras GTPase activator activity" 0.29348718953896
-244 0.0202344250620902 3 255 "GO:0005102" "receptor binding" 0.18354754014554
1008 0.0652778651820212 3 9 "GO:0005109" "frizzled binding" 0.310158072945928
-817 0.159144300276682 2 8 "GO:0005112" "Notch binding" 0.497721737411225
-912 0.173388185208863 2 6 "GO:0005123" "death receptor binding" 0.516638016266409
-417 0.399027261851637 4 11 "GO:0005125" "cytokine activity" 0.736859166318464
-621 0.0384324584108594 2 30 "GO:0005126" "cytokine receptor binding" 0.241213392228134
-1132 0.0221259354718295 3 11 "GO:0005154" "epidermal growth factor receptor binding" 0.190571963072358
144 0.816940585067716 2 7 "GO:0005158" "insulin receptor binding" 0.956179459753026
-552 0.264508915160427 3 11 "GO:0005160" "transforming growth factor beta receptor binding" 0.60544561330159
-79 0.884892468916347 3 9 "GO:0005164" "tumor necrosis factor receptor binding" 0.973492465804091
-326 0.374321861994478 2 20 "GO:0005178" "integrin binding" 0.721794770857445
100 0.891793292964048 2 5 "GO:0005179" "hormone activity" 0.976829858241462
208 0.0316787978445978 1 303 "GO:0005198" "structural molecule activity" 0.218612375266445
-167 0.515605710271029 2 41 "GO:0005200" "structural constituent of cytoskeleton" 0.810764614182888
-301 0.286373000942562 2 34 "GO:0005201" "extracellular matrix structural constituent" 0.629492101660843
-513 4.52567570137227e-05 2 175 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.00308917287103148
-436 0.514812190014062 5 6 "GO:0005217" "intracellular ligand-gated ion channel activity" 0.810764614182888
-741 0.232354186408319 7 7 "GO:0005227" "calcium activated cation channel activity" 0.586894626014116
-300 0.605199975820822 5 8 "GO:0005229" "intracellular calcium activated chloride channel activity" 0.854027336023796
-341 0.240227985654023 4 32 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.598400007850345
-1119 0.00179182151703532 2 21 "GO:0005231" "excitatory extracellular ligand-gated ion channel activity" 0.0450003175278299
-1280 0.0192614774721872 2 9 "GO:0005234;GO:0004970" "extracellular-glutamate-gated ion channel activity" 0.180115305298431
-762 0.0431419836272021 2 19 "GO:0005245" "voltage-gated calcium channel activity" 0.252812024055404
622 0.255241131466939 2 9 "GO:0005246" "calcium channel regulator activity" 0.603110092901719
-650 0.331546795404654 3 6 "GO:0005247" "voltage-gated chloride channel activity" 0.685716783907508
