"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1106 1.35011400553224e-06 2 73 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 4.76879554096923e-05
1319 0.0553188061068609 2 8 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.20338401204344
864 0.276811709110287 2 6 "GO:0001530" "lipopolysaccharide binding" 0.512571570391345
1222 0.0757683638299955 5 8 "GO:0001537;GO:0050659" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.244087660677086
215 0.726813082723278 2 10 "GO:0001540" "beta-amyloid binding" 0.847662899544012
1658 7.93943638143945e-17 -1 97 "GO:0001584" "rhodopsin-like receptor activity" 1.3086837635406e-14
1856 0.00423867035430174 5 9 "GO:0001594" "trace-amine receptor activity" 0.0374289730393252
1711 0.0128940984442196 2 8 "GO:0001609" "G-protein coupled adenosine receptor activity" 0.0822726668473109
-1526 0.0547232246585498 2 6 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 0.201945034280992
-697 0.380418544154938 2 6 "GO:0001618" "virus receptor activity" 0.597196730427355
2470 0.00187693359714939 5 6 "GO:0001640" "adenylate cyclase inhibiting G-protein coupled glutamate receptor activity" 0.0201770361693559
1094 1.04635495377234e-05 2 62 "GO:0001664" "G-protein coupled receptor binding" 0.000295670014080241
-826 0.342891746012233 5 5 "GO:0001727" "lipid kinase activity" 0.559863027108416
760 0.130924012621864 5 15 "GO:0001786" "phosphatidylserine binding" 0.346464715795597
257 0.500623655373296 3 26 "GO:0001948" "glycoprotein binding" 0.696366800512222
2454 0.00481461242895084 3 5 "GO:0001968" "fibronectin binding" 0.0403512608529129
1113 0.0222137876202841 4 16 "GO:0002020" "protease binding" 0.113831274385808
214 0.622982334517971 3 20 "GO:0002039" "p53 binding" 0.783359242629609
-1505 0.0407086134584107 5 7 "GO:0002161" "aminoacyl-tRNA editing activity" 0.167209683362847
-324 0.0326913429402489 2 169 "GO:0003682" "chromatin binding" 0.148994185105558
-566 0.0572220112119583 5 43 "GO:0003684" "damaged DNA binding" 0.20806091576701
-1187 0.135120711751374 2 6 "GO:0003688" "DNA replication origin binding" 0.349828230162589
557 0.48358670298998 7 6 "GO:0003689;GO:0033170" "DNA clamp loader activity" 0.686179697642884
-374 0.203697937398298 2 44 "GO:0003690" "double-stranded DNA binding" 0.42954639677381
-434 0.112392441994898 2 51 "GO:0003697" "single-stranded DNA binding" 0.312236306553242
774 3.30872473134616e-11 2 290 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 2.51717596869335e-09
1369 0.00493633977335594 2 16 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.0406836669654085
1843 0.0341596807549001 -1 5 "GO:0003706" "ligand-regulated transcription factor activity" 0.151344288220763
1519 0.00689763247617307 2 12 "GO:0003707" "steroid hormone receptor activity" 0.0509086456636953
-266 0.0647257149213413 2 188 "GO:0003712;GO:0000989;GO:0000988" "protein binding transcription factor activity" 0.221502112812792
-268 0.162993828493559 2 104 "GO:0003713" "transcription coactivator activity" 0.381089589551134
-391 0.179353020234324 3 45 "GO:0003714" "transcription corepressor activity" 0.396823572733214
-354 0.282652553529051 2 35 "GO:0003725" "double-stranded RNA binding" 0.514248671888678
-450 0.18534857446696 2 33 "GO:0003727" "single-stranded RNA binding" 0.407013807527872
-883 6.73118277975312e-05 2 78 "GO:0003729" "mRNA binding" 0.0013869041185783
-835 0.0443698779038205 4 22 "GO:0003730" "mRNA 3'-UTR binding" 0.176942779221284
-710 2.89792514863389e-05 2 134 "GO:0003735" "structural constituent of ribosome" 0.000636899549333093
-860 0.00654901498940615 2 38 "GO:0003743" "translation initiation factor activity" 0.0490679986706264
-801 0.0809349778503283 6 18 "GO:0003746" "translation elongation factor activity" 0.251542425754682
-1250 0.115585373928879 3 6 "GO:0003747;GO:0008079" "translation termination factor activity" 0.318423216756717
-161 0.68009392852929 2 25 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.817269617637263
-478 0.272970187649162 4 20 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.510335568213651
104 0.573132890923634 2 112 "GO:0003774" "motor activity" 0.742894402520936
53 0.825927164825795 2 66 "GO:0003777" "microtubule motor activity" 0.909623570170057
243 0.205974314883165 4 104 "GO:0003779" "actin binding" 0.433412536438701
-626 0.363044337433276 2 8 "GO:0003823" "antigen binding" 0.580988429970081
-641 0.274929848832928 2 11 "GO:0003841;GO:0042171;GO:0071617" "lysophosphatidic acid acyltransferase activity" 0.511105784320915
-711 0.0144982126861773 2 45 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 0.0877831053043034
-412 0.636317633679212 2 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.794837146119231
526 0.545573581758793 2 5 "GO:0003858" "3-hydroxybutyrate dehydrogenase activity" 0.730138392908588
697 0.380076545387596 2 6 "GO:0003880" "protein C-terminal carboxyl O-methyltransferase activity" 0.597196730427355
-1152 0.147142837360884 5 6 "GO:0003884" "D-amino-acid oxidase activity" 0.367366104109245
-400 0.18433003926652 3 42 "GO:0003887" "DNA-directed DNA polymerase activity" 0.406018727916678
-261 0.391886550453876 2 41 "GO:0003899;GO:0034062" "RNA polymerase activity" 0.606352039183343
-615 0.168813254165279 -1 19 "GO:0003900;GO:0003901;GO:0003902" "DNA-directed RNA polymerase I activity" 0.387751992550285
-611 0.320891277170116 5 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 0.539294641065723
886 0.172168202454289 2 9 "GO:0003910;GO:0003909" "DNA ligase activity" 0.390537505108467
-1893 0.0295965217831565 4 5 "GO:0003913" "DNA photolyase activity" 0.14058702131601
-62 0.938160747641605 3 6 "GO:0003916" "DNA topoisomerase activity" 0.972579642995333
-197 0.282569980733729 3 114 "GO:0003924" "GTPase activity" 0.514248671888678
-1094 0.00251470546585789 -1 29 "GO:0003925" "small monomeric GTPase activity" 0.0248704370573345
-719 0.152962722485574 -1 15 "GO:0003936" "hydrogen-transporting two-sector ATPase activity" 0.37246032840819
672 0.397993143426072 2 6 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.608369735468911
574 0.211294694082122 5 18 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.439013555561384
-1258 0.113320099472631 2 6 "GO:0003958" "NADPH-hemoprotein reductase activity" 0.313095534947325
-796 0.279057645325093 5 7 "GO:0003960" "NADPH:quinone reductase activity" 0.512988868450775
71 0.840260203282372 6 31 "GO:0003964" "RNA-directed DNA polymerase activity" 0.92028498454736
-949 0.275449325624922 6 5 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.511105784320915
1104 0.0600266395357425 2 11 "GO:0003993" "acid phosphatase activity" 0.212782603945697
-229 0.64864030868742 2 15 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.797489561359372
-169 0.83148397833638 2 6 "GO:0004000" "adenosine deaminase activity" 0.913708505082978
-295 0.0895179596491001 3 128 "GO:0004003;GO:0003678;GO:0008094" "DNA-dependent ATPase activity" 0.267486643325459
-774 0.000193444306154816 3 89 "GO:0004004;GO:0003724;GO:0008186" "RNA helicase activity" 0.00324265116588327
516 0.553551356704113 6 5 "GO:0004012" "phospholipid-translocating ATPase activity" 0.731901459599422
-904 0.219064709831389 2 7 "GO:0004016" "adenylate cyclase activity" 0.447634293436454
232 0.706155350318878 2 10 "GO:0004017" "adenylate kinase activity" 0.835391915628434
-798 0.246344082238987 2 8 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 0.479867071028506
-825 0.343360073484977 2 5 "GO:0004047" "aminomethyltransferase activity" 0.559863027108416
932 0.284043469304655 3 5 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.515447690169365
990 0.150311458799321 2 8 "GO:0004065" "arylsulfatase activity" 0.367366104109245
-270 0.756718602511098 2 5 "GO:0004067" "asparaginase activity" 0.867201272170887
-694 0.382588924154321 2 6 "GO:0004069;GO:0080130;GO:0070546" "L-phenylalanine:2-oxoglutarate aminotransferase activity" 0.599652053864696
-147 0.866126551830167 2 5 "GO:0004096" "catalase activity" 0.931360200192421
-691 0.169277204776903 2 15 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.387751992550285
-298 0.707429203550987 4 6 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.835899023072791
-692 0.286401407611561 3 9 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "cytochrome-c oxidase activity" 0.517214763789789
-1276 0.0297094918655673 3 11 "GO:0004143" "diacylglycerol kinase activity" 0.14058702131601
257 0.768113407232355 3 5 "GO:0004144" "diacylglycerol O-acyltransferase activity" 0.877200845141291
360 0.504643751485068 5 13 "GO:0004165;GO:0016863" "intramolecular oxidoreductase activity, transposing C=C bonds" 0.699989719801869
-923 0.289035065966029 3 5 "GO:0004169" "dolichyl-phosphate-mannose-protein mannosyltransferase activity" 0.518794338004361
268 0.0249861515764726 4 276 "GO:0004175" "endopeptidase activity" 0.126078081169038
-22 0.973599358699615 6 9 "GO:0004176" "ATP-dependent peptidase activity" 0.988862270735643
-92 0.813282236182922 5 25 "GO:0004177" "aminopeptidase activity" 0.900712353398555
1446 0.000155004053665782 5 26 "GO:0004180" "carboxypeptidase activity" 0.00283771315615367
1272 0.0302851543903757 2 11 "GO:0004181" "metallocarboxypeptidase activity" 0.140683873438319
1081 0.0264335046200646 -1 16 "GO:0004182" "carboxypeptidase A activity" 0.130713680346219
1374 0.0192634745507328 3 11 "GO:0004185;GO:0070008" "serine-type exopeptidase activity" 0.104106974484561
-283 0.377112586281638 5 37 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.593892273618694
-616 0.00883246399623872 2 69 "GO:0004197" "cysteine-type endopeptidase activity" 0.0610860621837769
-869 0.237602221827219 7 7 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.468104775671553
-1459 4.15441782049343e-05 2 30 "GO:0004221" "ubiquitin thiolesterase activity" 0.000893199831406088
1116 2.86850433759381e-07 2 81 "GO:0004222" "metalloendopeptidase activity" 1.26277244719634e-05
-1925 0.0269814208567926 -1 5 "GO:0004239" "methionyl aminopeptidase activity" 0.132759329489392
1648 0.0583546390045255 -1 5 "GO:0004245" "neprilysin activity" 0.20910412309955
1410 0.00212686332899779 -1 18 "GO:0004249;GO:0008133;GO:0008319;GO:0030402" "collagenase activity" 0.0216852353853486
786 0.000180954814847628 5 87 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.00313972476990007
-955 0.272624457244725 -1 5 "GO:0004285" "proprotein convertase 1 activity" 0.510335568213651
947 0.019707117331152 -1 23 "GO:0004289" "subtilase activity" 0.105353184002753
1535 0.0016172210956184 -1 16 "GO:0004295;GO:0004263" "trypsin activity" 0.0183842719950184
-693 0.120944670547798 4 19 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0.328526943940359
-911 0.0915653027031523 -1 13 "GO:0004299" "proteasome endopeptidase activity" 0.271131989141969
-821 0.301740178579759 2 6 "GO:0004300" "enoyl-CoA hydratase activity" 0.526315761226423
-234 0.733590344147399 5 8 "GO:0004303" "estradiol 17-beta-dehydrogenase activity" 0.852550940495626
-511 0.519941724397646 6 6 "GO:0004308;GO:0016997" "exo-alpha-sialidase activity" 0.706349403062187
807 0.108593202657267 2 15 "GO:0004312" "fatty acid synthase activity" 0.305682453069665
276 0.609103013646394 4 13 "GO:0004339" "glucan 1,4-alpha-glucosidase activity" 0.772669775384698
32 0.95707150296664 4 11 "GO:0004364" "glutathione transferase activity" 0.985983037952091
-1445 0.0688756367808738 2 6 "GO:0004366" "glycerol-3-phosphate O-acyltransferase activity" 0.228583908645249
334 0.650157524232458 2 7 "GO:0004383" "guanylate cyclase activity" 0.797773934821217
-169 0.641628563937578 2 29 "GO:0004402" "histone acetyltransferase activity" 0.796110882135632
-742 0.140179863426332 2 15 "GO:0004407;GO:0033558" "protein deacetylase activity" 0.359165504996483
-1348 0.121335213435168 4 5 "GO:0004427" "inorganic diphosphatase activity" 0.328526943940359
-479 0.459980943620025 3 9 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 0.660262921974172
-1419 0.0156679544604192 -1 11 "GO:0004437" "inositol or phosphatidylinositol phosphatase activity" 0.0911506291844388
-1987 0.0123847247631431 4 6 "GO:0004438;GO:0052744;GO:0052629" "phosphatidylinositol-3-phosphatase activity" 0.079535667472393
-1074 0.144138016565726 2 7 "GO:0004448" "isocitrate dehydrogenase activity" 0.36610883666619
214 0.787553383915255 4 6 "GO:0004467;GO:0015645" "fatty acid ligase activity" 0.886109552550839
752 0.00828086451864427 3 47 "GO:0004497" "monooxygenase activity" 0.0584983929209942
1538 0.0771526773222791 2 5 "GO:0004508" "steroid 17-alpha-monooxygenase activity" 0.247460173105156
65 0.940782934525613 2 5 "GO:0004514" "nicotinate-nucleotide diphosphorylase (carboxylating) activity" 0.973257659252962
-249 0.0853839831632559 3 186 "GO:0004518" "nuclease activity" 0.260706897835437
-124 0.491108642751032 5 118 "GO:0004519" "endonuclease activity" 0.688945315859249
-9 0.973363826859387 2 49 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.988862270735643
-386 0.153911804787654 2 52 "GO:0004521" "endoribonuclease activity" 0.37246032840819
-408 0.402622781960234 2 16 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.61260604824411
20 0.977976956884538 5 7 "GO:0004525;GO:0032296" "double-stranded RNA-specific ribonuclease activity" 0.989841763819479
67 0.917238558132579 7 9 "GO:0004526;GO:0004549" "tRNA-specific ribonuclease activity" 0.961981902431729
-441 0.0538440562524233 5 73 "GO:0004527" "exonuclease activity" 0.199742878312559
622 0.397745108156911 2 7 "GO:0004528" "phosphodiesterase I activity" 0.608369735468911
-351 0.549831630320003 2 11 "GO:0004534" "5'-3' exoribonuclease activity" 0.731806036701245
-465 0.473417504181581 2 9 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.674111636501248
-317 0.138294805877591 4 84 "GO:0004540" "ribonuclease activity" 0.355256007825812
-834 0.122402739976446 2 13 "GO:0004550" "nucleoside diphosphate kinase activity" 0.329853705277126
-195 0.653989332056889 2 20 "GO:0004551" "nucleotide diphosphatase activity" 0.800489417579534
66 0.730284731278451 2 105 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.85070859744922
-429 0.486192776986088 4 10 "GO:0004558" "alpha-glucosidase activity" 0.686935846594744
-683 0.267452438357021 4 10 "GO:0004559;GO:0015923" "mannosidase activity" 0.505934009275466
532 0.469210492729214 6 7 "GO:0004563" "beta-N-acetylhexosaminidase activity" 0.669623632480797
537 0.499186860935011 2 6 "GO:0004565" "beta-galactosidase activity" 0.696366800512222
1316 0.0737247502708644 3 7 "GO:0004568" "chitinase activity" 0.238765919750329
-243 0.596424365346367 2 18 "GO:0004576" "oligosaccharyl transferase activity" 0.759155337615903
-1690 0.0521914091076931 6 5 "GO:0004579" "dolichyl-diphosphooligosaccharide-protein glycotransferase activity" 0.197488335751949
13 0.98483750818844 2 8 "GO:0004597" "peptide-aspartate beta-dioxygenase activity" 0.989841763819479
-629 0.196470523712367 -1 16 "GO:0004600;GO:0030051;GO:0042027" "cyclophilin" 0.420845626314786
202 0.575975456484369 3 29 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.74538958811537
599 0.307896323860244 4 11 "GO:0004602" "glutathione peroxidase activity" 0.531994789627353
413 0.0530785575194842 2 84 "GO:0004620;GO:0016298" "lipase activity" 0.198093182591584
200 0.721981714783558 2 12 "GO:0004622" "lysophospholipase activity" 0.846018857726231
159 0.689123722098801 2 24 "GO:0004623" "phospholipase A2 activity" 0.822162702626117
-307 0.636512658975158 2 9 "GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499" "calcium-independent phospholipase A2 activity" 0.794837146119231
-83 0.923778968955679 2 5 "GO:0004630" "phospholipase D activity" 0.966790899785361
16 0.979890198468613 3 9 "GO:0004652" "polynucleotide adenylyltransferase activity" 0.989841763819479
1344 0.0676991540289802 2 7 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.226149946758133
753 0.343616640500312 2 6 "GO:0004656;GO:0019798" "procollagen-proline dioxygenase activity" 0.559863027108416
-658 0.190572849420637 2 15 "GO:0004659" "prenyltransferase activity" 0.414234171597824
-674 0.396354262637694 7 6 "GO:0004662;GO:0004661" "protein geranylgeranyltransferase activity" 0.608369735468911
-7 0.937755454218746 2 458 "GO:0004674;GO:0004672" "protein kinase activity" 0.972579642995333
-480 0.00568542954762584 4 128 "GO:0004675;GO:0004676;GO:0004677;GO:0004679;GO:0004680;GO:0004681;GO:0004686;GO:0004689;GO:0004692;GO:0004694;GO:0004697;GO:0004698;GO:0009931;GO:0010857;GO:0004703;GO:0004704;GO:0004705;GO:0016909;GO:0004707;GO:0004706;GO:0004708;GO:0004711;GO:0004716;GO:0008349;GO:0008384;GO:0008443;GO:0019200;GO:0008545;GO:0008607;GO:0008819;GO:0016538;GO:0018720;GO:0019912;GO:0019914;GO:0042556;GO:0042557" "carbohydrate kinase activity" 0.0445168655570025
-426 0.0814663822798301 3 64 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.2517820377336
852 0.246838878974148 3 7 "GO:0004687" "myosin light chain kinase activity" 0.479867071028506
-571 0.00198338644803008 3 113 "GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 0.020656542946726
-350 0.158512905831742 3 62 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.375046085807638
-285 0.743810271314246 2 5 "GO:0004699" "calcium-independent protein kinase C activity" 0.858376147409322
-530 0.0312737619888137 7 63 "GO:0004709" "MAP kinase kinase kinase activity" 0.144531544892228
-444 0.081134513463846 2 59 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.251542425754682
54 0.663863664509291 2 256 "GO:0004713" "protein tyrosine kinase activity" 0.803624435984931
388 0.0380062441271167 3 110 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 0.162719374206573
-706 0.00176859175833521 3 75 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.019604388720523
-185 0.282862767954945 2 130 "GO:0004721" "phosphoprotein phosphatase activity" 0.514248671888678
-289 0.295683999041832 3 50 "GO:0004722" "protein serine/threonine phosphatase activity" 0.522035875795262
-705 0.0441519695999503 7 31 "GO:0004723;GO:0004724;GO:0008420;GO:0008597;GO:0017018;GO:0017020" "calcium-dependent protein serine/threonine phosphatase activity" 0.176786631313161
-196 0.383318561147292 3 76 "GO:0004725" "protein tyrosine phosphatase activity" 0.599845026858658
-1285 0.0807879763198338 2 7 "GO:0004726" "non-membrane spanning protein tyrosine phosphatase activity" 0.251542425754682
-463 0.410537127975676 7 12 "GO:0004727" "prenylated protein tyrosine phosphatase activity" 0.618934785926743
921 0.246412462401629 2 6 "GO:0004745" "retinol dehydrogenase activity" 0.479867071028506
-568 0.440473970875835 2 7 "GO:0004767" "sphingomyelin phosphodiesterase activity" 0.644421238455918
1256 0.148907993110301 3 5 "GO:0004791" "thioredoxin-disulfide reductase activity" 0.367366104109245
1722 0.000405888889741436 2 16 "GO:0004806" "triglyceride lipase activity" 0.00573463017077543
-927 0.0118119316230383 3 28 "GO:0004812;GO:0016876;GO:0016875" "ligase activity, forming aminoacyl-tRNA and related compounds" 0.0773642408952641
-1719 0.00807087829756297 5 9 "GO:0004835" "tubulin-tyrosine ligase activity" 0.0574251700452502
-521 1.23222193143901e-05 2 278 "GO:0004842;GO:0019787;GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.000329369591944103
-1382 3.36352888841687e-07 4 52 "GO:0004843;GO:0019783" "small conjugating protein-specific protease activity" 1.33061202825771e-05
226 0.239712348291241 2 104 "GO:0004857" "enzyme inhibitor activity" 0.470078310413906
43 0.9121556397656 2 25 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.959704178434232
362 0.556622585067278 4 10 "GO:0004864;GO:0019212" "phosphatase inhibitor activity" 0.732507068264869
515 0.0622432258457723 4 50 "GO:0004866;GO:0030414;GO:0061135" "endopeptidase regulator activity" 0.21657841925496
150 0.72390350178574 2 21 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.846810062062714
-80 0.877632547824463 2 14 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 0.93835523221448
922 4.90787705805773e-29 2 612 "GO:0004871;GO:0060089" "signal transducer activity" 1.6179634701397e-26
1652 0.0163980695318467 3 8 "GO:0004879;GO:0098531" "direct ligand regulated sequence-specific DNA binding transcription factor activity" 0.0948402968830198
1182 9.48475644719415e-43 2 554 "GO:0004888;GO:0038023;GO:0004872" "receptor activity" 4.69021206313751e-40
1889 2.2085925292723e-45 3 219 "GO:0004930" "G-protein coupled receptor activity" 2.1842980114503e-42
1905 2.02809886368291e-05 3 19 "GO:0004935" "adrenergic receptor activity" 0.00045776468554239
941 0.236542498990652 2 6 "GO:0004936;GO:0004937" "alpha-adrenergic receptor activity" 0.467694991704089
2276 0.000218480171362099 7 10 "GO:0004939;GO:0051380" "beta-adrenergic receptor activity" 0.00342979189646216
2586 0.000438773231572147 2 7 "GO:0004941" "beta2-adrenergic receptor activity" 0.0060270378614563
2117 0.0011052048366647 3 9 "GO:0004952" "dopamine neurotransmitter receptor activity" 0.0136630947932674
2075 3.26937652799796e-07 5 23 "GO:0004969;GO:0031808;GO:0031806" "histamine receptor activity" 1.33061202825771e-05
1713 0.000190911945364506 7 18 "GO:0004970;GO:0005234" "extracellular-glutamate-gated ion channel activity" 0.00324265116588327
2941 0.000214452379892757 2 6 "GO:0004971" "alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity" 0.00342979189646216
1830 0.000274154853262128 4 15 "GO:0004977" "melanocortin receptor activity" 0.00417137153655761
1737 0.00743898072983764 2 9 "GO:0004980" "melanocyte-stimulating hormone receptor activity" 0.0537018389913097
2033 0.000961251504614524 4 10 "GO:0004983" "neuropeptide Y receptor activity" 0.0120338954185287
1956 2.03656685175583e-05 3 18 "GO:0004993" "serotonin receptor activity" 0.00045776468554239
1994 0.0219291954604626 5 5 "GO:0004995" "tachykinin receptor activity" 0.11295819953332
-58 0.873518448976887 3 29 "GO:0005001;GO:0019198" "transmembrane receptor protein phosphatase activity" 0.935980223226589
836 0.174508800399068 6 10 "GO:0005003" "ephrin receptor activity" 0.391767310146633
1580 0.000202986912851579 2 21 "GO:0005007" "fibroblast growth factor-activated receptor activity" 0.00334590094683686
1416 0.0291350677055243 5 9 "GO:0005021" "vascular endothelial growth factor-activated receptor activity" 0.139876611460017
-1870 0.0186034341975968 2 6 "GO:0005024" "transforming growth factor beta-activated receptor activity" 0.102215535674574
1860 7.13577210288245e-07 3 27 "GO:0005044;GO:0038024" "cargo receptor activity" 2.61380689250028e-05
486 0.576565252687824 3 5 "GO:0005047" "signal recognition particle binding" 0.74538958811537
-586 0.394253270814659 2 8 "GO:0005049" "nuclear export signal receptor activity" 0.608009229077694
-600 0.00127663057287962 2 111 "GO:0005057;GO:0004702" "receptor signaling protein activity" 0.0150308051973565
